EPISODES,BATCH_SIZE,GAMMA,NO_OP_STEPS,LEARNING_RATE,MIN_GRAD
10001,32,0.99,30,0.00025,0.01
Date/Time Start,2019-05-13 10:21:49.989519
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,11.0,839,1.0,839,0.0290613628367,0.0,839
1,6.0,1502,1.0,1502,0.0363333416614,0.0,1502
2,9.0,2264,1.0,2264,0.0313741984701,0.0,2264
3,12.0,3077,1.0,3077,0.030472764003,0.0,3077
4,5.0,3477,1.0,3477,0.0346927420748,0.0,3477
5,6.0,4136,1.0,4136,0.0347807443219,0.0,4136
6,10.0,4911,1.0,4911,0.0318170806165,0.0,4911
7,10.0,5687,1.0,5687,0.0302860394418,0.0,5687
8,9.0,6471,1.0,6471,0.0298889390328,0.0,6471
9,8.0,7248,1.0,7248,0.0331429821958,0.0,7248
10,10.0,8024,1.0,8024,0.0307755773136,0.0,8024
11,4.0,8434,1.0,8434,0.0347089992723,0.0,8434
12,10.0,9223,1.0,9223,0.0319230134312,0.0,9223
13,9.0,10018,0.9999838000000005,10018,0.0318588590788,0.000113500260935,10018
14,4.0,10411,0.9996301000000122,10411,0.0502895802999,0.00609377832058,10411
15,7.0,11057,0.9990487000000313,11057,0.0489184998968,0.00557809931612,11057
16,12.0,11879,0.9983089000000557,11879,0.047214789597,0.00635376858808,11879
17,10.0,12661,0.9976051000000788,12661,0.0508236888453,0.00611077122145,12661
18,6.0,13307,0.997023700000098,13307,0.0470542969938,0.00600168507642,13307
19,3.0,13688,0.9966808000001093,13688,0.0525388002855,0.00595634377319,13688
20,7.0,14313,0.9961183000001278,14313,0.0429447103441,0.0062621825809,14313
21,5.0,14722,0.9957502000001399,14722,0.0471892804158,0.00513252382073,14722
22,4.0,15095,0.995414500000151,15095,0.0531382823698,0.0055383196995,15095
23,9.0,15846,0.9947386000001732,15846,0.0415747994191,0.00510489476732,15846
24,6.0,16503,0.9941473000001927,16503,0.0447084756251,0.00634878801231,16503
25,18.0,17861,0.9929251000002329,17861,0.0411603231013,0.00612698792107,17861
26,6.0,18506,0.992344600000252,18506,0.0411286060698,0.00625501339401,18506
27,5.0,18913,0.9919783000002641,18913,0.0396814163835,0.00577793220054,18913
28,10.0,19715,0.9912565000002879,19715,0.0407012100151,0.00592930181965,19715
29,10.0,20536,0.9905176000003122,20536,0.0531485202676,0.00597126912468,20536
30,8.0,21325,0.9898075000003356,21325,0.059096485701,0.00588105939164,21325
31,6.0,21953,0.9892423000003542,21953,0.0598018229717,0.00512286293663,21953
32,11.0,22744,0.9885304000003776,22744,0.0583879990626,0.00546714345265,22744
33,9.0,23568,0.987788800000402,23568,0.0613644203997,0.0055328119734,23568
34,6.0,24214,0.9872074000004212,24214,0.0603799032085,0.00561669403611,24214
35,7.0,24844,0.9866404000004398,24844,0.0566420500078,0.00602919354399,24844
36,10.0,25657,0.9859087000004639,25657,0.0591596078837,0.00609356949818,25657
37,9.0,26452,0.9851932000004875,26452,0.0581972262312,0.0053410679068,26452
38,10.0,27247,0.984477700000511,27247,0.0656062834527,0.00598629832125,27247
39,8.0,28022,0.983780200000534,28022,0.0615386116372,0.00505337674758,28022
40,6.0,28668,0.9831988000005532,28668,0.0590784646507,0.00577749645913,28668
41,4.0,29040,0.9828640000005642,29040,0.088830865499,0.00561537120086,29040
42,10.0,29833,0.9821503000005877,29833,0.0619227992862,0.00565281572883,29833
43,12.0,30689,0.981379900000613,30689,0.074728081722,0.00528554970674,30689
44,9.0,31455,0.9806905000006357,31455,0.0795033535137,0.00533043576824,31455
45,3.0,31851,0.9803341000006475,31851,0.0936413162642,0.00632864518196,31851
46,7.0,32487,0.9797617000006663,32487,0.0743621598377,0.00528147117946,32487
47,11.0,33302,0.9790282000006905,33302,0.0789289227253,0.00585475563886,33302
48,7.0,33961,0.97843510000071,33961,0.0710240169435,0.00474826633546,33961
49,8.0,34742,0.9777322000007331,34742,0.0791429416748,0.00603729592148,34742
50,15.0,35854,0.9767314000007661,35854,0.0844318986939,0.00568305222203,35854
51,10.0,36637,0.9760267000007893,36637,0.07878386814,0.00581203440439,36637
52,6.0,37025,0.9756775000008008,37025,0.0792518020007,0.00476173196137,37025
53,5.0,37433,0.9753103000008129,37433,0.0745280148249,0.00600143702366,37433
54,6.0,38066,0.9747406000008316,38066,0.0708358389904,0.00584639085829,38066
55,8.0,38862,0.9740242000008552,38862,0.0777596482357,0.00606996234827,38862
56,5.0,39252,0.9736732000008668,39252,0.088243286517,0.00526808963524,39252
57,9.0,40040,0.9729640000008901,40040,0.0746263249477,0.00542548368459,40040
